serial no. of polling station,all india anna dravida munnetra kazhagam,naam tamilar katchi,dravida munnetra kazhagam,tamizhaga vaazhvurimai katchi,naam indiar party,aanaithinthiya jananayaka pathukappu kazhagam,bahujan dravida party,puthiya makkal tamil desam katchi,tamilaga vettri kazhagam,thamizhaka padaippalar makkal katchi,puthiya tamilagam,independent,independent.1,independent.2,independent.3,independent.4,independent.5,independent.6,independent.7,independent.8,total of valid votes,no. of rejected votes,nota,total,no. of tendered votes,building in which it will be located,polling areas,whether for all voters or men only or women only,building_clean,location_clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,AIADMK_Rank,NTK_Rank,DMK_Rank,TAVAK_Rank,NIP_Rank,PMTDK_Rank,TVK_Rank,IND1_Rank,IND2_Rank,IND3_Rank,IND4_Rank,IND5_Rank,IND6_Rank,IND7_Rank,IND8_Rank,IND9_Rank,Margin_Percentage,Total_Independent_Votes
305,105,17,108,0,0,0,0,0,131,0,0,1,0,0,0,1,1,0,1,0,365,0,1,366,0,"Corporation Primary School,  West  Building North Portion Perumal  Car  Street,  Tirunelveli  Town.","1.Ward 25 Peraringar  Anna Street  1
2.Ward 25 Peraringar  Anna Street  2
3.Ward 25 Peraringar  Anna Street  3
4.Ward 25 South MadaVeethi  Kavalar  Kudieruppu
5.Ward 27 Perumal  East  Car  Street 999.OVERSEAS ELECTORS",General,"Corporation Primary School,  West  Building North Portion Perumal  Car  Street",Tirunelveli  Town.,tamilaga vettri kazhagam,131,108,23,dravida munnetra kazhagam,3,4,2,9,9,9,1,5,9,9,9,5,5,9,5,9,6.301369863013699,4
306,235,51,145,1,0,0,0,3,282,2,0,0,0,2,1,1,0,1,1,2,727,0,5,732,0,Integrated Child Development  Center  Center  No; 33628090429,"1.Ward 23 Vellathanki  Pillaiyar  Kovil  Street
2.Ward 23 Narayanamoorthi  Lane
3.Ward 23 Aladivinayagar  Kovil  Street 999.OVERSEAS ELECTORS",General,Integrated Child Development  Center  Center  No; 33628090429,Integrated Child Development  Center  Center  No; 33628090429,tamilaga vettri kazhagam,282,235,47,all india anna dravida munnetra kazhagam,2,4,3,8,13,5,1,13,13,6,8,8,13,8,8,6,6.464924346629987,8
307,140,17,160,1,0,1,0,0,214,0,0,0,0,0,1,0,1,0,1,0,536,0,7,543,0,Pillaiyankattalai  Office  West  Portion Sudalai  Madan Kovil Street  Tirunelveli  Town,"1.Ward 25 Vasikkameendavinayagar  Kovil  Street
2.Ward 25 Sudalaimadan Kovil  Street
3.Wad 25 Chitirai  Lane  Street 999.  OVERSEAS ELECTORS",General,Pillaiyankattalai  Office  West  Portion Sudalai  Madan Kovil Street  Tirunelveli  Town,Pillaiyankattalai  Office  West  Portion Sudalai  Madan Kovil Street  Tirunelveli  Town,tamilaga vettri kazhagam,214,160,54,dravida munnetra kazhagam,3,4,2,5,9,9,1,9,9,9,5,9,5,9,5,9,10.07462686567164,3
308,137,23,129,2,1,0,0,0,189,0,0,0,0,0,1,1,0,0,1,3,487,0,3,490,0,Pillaiyankattalai  Office  East  Portion Sudalai  Madan Kovil Street  Tirunelveli  Town.,"1.Ward 25 Sengol  Lane  Street
2.Ward 25 Sundara Tholar  Street
3.Ward 25 Appar  Street
4.Ward 25 Veerakonam Perun Street
5.Ward 25 Sankarojithar  Street  (Jeeva Sreet)
6.Ward 25 West  Car  Street 999.OVERSEAS ELECTORS",General,Pillaiyankattalai  Office  East  Portion Sudalai  Madan Kovil Street  Tirunelveli  Town.,Pillaiyankattalai  Office  East  Portion Sudalai  Madan Kovil Street  Tirunelveli  Town.,tamilaga vettri kazhagam,189,137,52,all india anna dravida munnetra kazhagam,2,4,3,6,7,11,1,11,11,11,7,7,11,11,7,5,10.67761806981519,6
309,156,21,166,1,1,2,1,2,239,0,1,0,0,1,1,2,1,0,0,0,595,0,1,596,0,Thiruvaduthurai  Athinam Esanamadam   West  Car  Street Tirunelveli  Town,1.Ward 27 Siva Street 999.OVERSEAS ELECTORS,General,Thiruvaduthurai  Athinam Esanamadam   West  Car  Street Tirunelveli  Town,Thiruvaduthurai  Athinam Esanamadam   West  Car  Street Tirunelveli  Town,tamilaga vettri kazhagam,239,166,73,dravida munnetra kazhagam,3,4,2,7,7,5,1,12,12,7,7,5,7,12,12,12,12.26890756302521,5
310,148,26,114,0,0,0,0,0,181,0,0,0,0,1,0,2,0,0,0,1,473,0,6,479,0,"C.M. Primary School,  Main Building,  South Portion,  V.O.C. Street,  Tirunelveli  Town.","1.Ward 27 V.O.C.  Street
2.Ward 28 Vaiyapuri  Nagar 999.OVERSEAS ELECTORS",General,"C.M. Primary School,  Main Building,  South Portion,  V.O.C. Street",Tirunelveli  Town.,tamilaga vettri kazhagam,181,148,33,all india anna dravida munnetra kazhagam,2,4,3,8,8,8,1,8,8,6,8,5,8,8,8,6,6.976744186046512,4
311,112,24,115,0,1,0,0,0,116,0,0,0,0,0,0,0,2,1,0,1,372,0,4,376,0,"C.M. Primary School,  Main Building,  North Portion,  V.O.C. Street,  Tirunelveli  Town.","1.Ward 27 V.O.C.  Street
2.Ward 28 Vaiyapuri  Nagar 999.OVERSEAS ELECTORS",General,"C.M. Primary School,  Main Building,  North Portion,  V.O.C. Street",Tirunelveli  Town.,tamilaga vettri kazhagam,116,115,1,dravida munnetra kazhagam,3,4,2,9,6,9,1,9,9,9,9,9,5,6,9,6,0.2688172043010753,4
312,140,27,139,0,0,0,0,1,171,1,0,0,0,0,0,0,0,1,1,0,481,0,1,482,0,"Hindu Primary School,  West  Portion Building,  V.O.C Street, Tirunelveli  Town.",1.Ward 27   V.O.C Street 999.OVERSEAS ELECTORS,General,"Hindu Primary School,  West  Portion Building,  V.O.C Street",Tirunelveli  Town.,tamilaga vettri kazhagam,171,140,31,all india anna dravida munnetra kazhagam,2,4,3,8,8,5,1,8,8,8,8,8,8,5,5,8,6.444906444906445,2
313,124,43,109,0,0,2,3,1,226,0,1,1,0,0,2,1,0,1,1,0,515,0,1,516,0,"S.T.C.  Branch Apparklaphdon Middle  School,  Main Building,  South Portion,  East  Car  Street,  Tirunelveli  Town.","1.Ward 28 Kavalpirai  Street
2.Ward 28 Kattalai  Panna Street 999.OVERSEAS ELECTORS",General,"S.T.C.  Branch Apparklaphdon Middle  School,  Main Building,  South Portion,  East  Car  Street",Tirunelveli  Town.,tamilaga vettri kazhagam,226,124,102,all india anna dravida munnetra kazhagam,2,4,3,11,11,6,1,6,11,11,5,6,11,6,6,11,19.80582524271845,6
314,104,16,65,0,0,0,0,0,145,0,1,0,0,0,0,1,0,1,1,0,334,0,0,334,0,"S.T.C.  Branch Apparklaphdon Middle  School,Inside  North Building East  Side  Tirunelveli  Town.",1.Ward 28 Kattalai  Karuvelangundru Street 999.OVERSEAS ELECTORS,General,S.T.C.  Branch Apparklaphdon Middle  School,Inside  North Building East  Side  Tirunelveli  Town.,tamilaga vettri kazhagam,145,104,41,all india anna dravida munnetra kazhagam,2,4,3,8,8,8,1,8,8,8,8,5,8,5,5,8,12.27544910179641,3
315,103,15,75,3,0,1,1,0,141,0,0,1,0,0,1,0,0,0,0,0,341,0,2,343,0,"S.T.C.  Branch Apparklaphdon Middle  School,  Main Building,  North Portion,  East  Car  Street,  Tirunelveli  Town.","1.Ward 25 East  Car  Street
2.Ward 28 Poothathar  Sannathi  Street 999.  OVERSEAS ELECTORS",General,"S.T.C.  Branch Apparklaphdon Middle  School,  Main Building,  North Portion,  East  Car  Street",Tirunelveli  Town.,tamilaga vettri kazhagam,141,103,38,all india anna dravida munnetra kazhagam,2,4,3,5,8,8,1,6,8,8,6,8,8,8,8,8,11.14369501466276,2
316,133,7,57,0,0,1,1,0,133,0,1,0,1,0,0,0,0,0,1,1,336,0,1,337,0,"S.T.C.  Branch Apparklaphdon Middle  School,  Main Building,  East  Portion,  East  Car  Street,  Tirunelveli  Town.",1.Ward 28 Amman Sannathi  Street 999.OVERSEAS ELECTORS,General,"S.T.C.  Branch Apparklaphdon Middle  School,  Main Building,  East  Portion,  East  Car  Street",Tirunelveli  Town.,all india anna dravida munnetra kazhagam,133,133,0,all india anna dravida munnetra kazhagam,1,4,3,8,8,8,1,8,5,8,8,8,8,8,5,5,0.0,3
317,167,34,192,1,0,1,0,2,290,1,2,0,0,0,0,0,0,1,0,1,692,0,1,693,0,"Bharathiyar  Corporation High School,  North Building, Bharathiyar  Street,  Tirunelveli  Town.",1.Ward 28 Sundarar  Street 999.OVERSEAS ELECTORS,General,"Bharathiyar  Corporation High School,  North Building, Bharathiyar  Street",Tirunelveli  Town.,tamilaga vettri kazhagam,290,192,98,dravida munnetra kazhagam,3,4,2,6,9,5,1,9,9,9,9,9,9,6,9,6,14.16184971098266,2
318,37,13,61,0,0,0,0,0,70,0,1,0,0,0,1,0,0,0,0,0,183,0,0,183,0,Barathiyar  Corporation Primary School   I -  V English Medium (Campus)  Children's Mini  Center.No33628190427 Tirunelveli  Town.,1.Ward 28 Manipuram 999.OVERSEAS ELECTORS,General,Barathiyar  Corporation Primary School   I -  V English Medium (Campus)  Children's Mini  Center.No33628190427 Tirunelveli  Town.,Barathiyar  Corporation Primary School   I -  V English Medium (Campus)  Children's Mini  Center.No33628190427 Tirunelveli  Town.,tamilaga vettri kazhagam,70,61,9,dravida munnetra kazhagam,3,4,2,6,6,6,1,6,6,6,5,6,6,6,6,6,4.918032786885246,1
319,152,23,144,1,1,0,0,0,204,0,0,0,1,0,1,0,0,1,1,0,529,0,3,532,0,"Bharathiyar  Corporation High School,  South Building, Bharathiyar  Street,  Tirunelveli  Town.",1.Ward 28 Bharathiyar  Street 999.OVERSEAS ELECTORS,General,"Bharathiyar  Corporation High School,  South Building, Bharathiyar  Street",Tirunelveli  Town.,tamilaga vettri kazhagam,204,152,52,all india anna dravida munnetra kazhagam,2,4,3,5,5,11,1,11,5,11,5,11,11,5,5,11,9.829867674858223,4
320,88,7,73,0,0,0,0,0,61,0,0,1,0,0,0,0,0,0,1,0,231,0,0,231,0,"Bharathiyar  Corporation High School,  South Building Middle  Portion Bharathiyar  Street,  Tirunelveli  Town.",1.Ward 28 Muthuramalingapuram. 999.OVERSEAS ELECTORS,General,"Bharathiyar  Corporation High School,  South Building Middle  Portion Bharathiyar  Street",Tirunelveli  Town.,all india anna dravida munnetra kazhagam,88,73,15,dravida munnetra kazhagam,1,4,2,7,7,7,3,5,7,7,7,7,7,7,5,7,6.493506493506493,2
321,108,9,78,0,0,1,0,0,138,0,0,0,0,0,1,0,1,0,0,0,336,0,2,338,0,"Bharathiar  Corporation High School,  Western side  first building southern face  first  room",1.Ward 28 Bharathiyar  Street 999.OVERSEAS ELECTORS,General,Bharathiar  Corporation High School,Western side  first building southern face  first  room,tamilaga vettri kazhagam,138,108,30,all india anna dravida munnetra kazhagam,2,4,3,7,7,7,1,7,7,7,5,7,5,7,7,7,8.928571428571429,2
322,105,8,99,0,0,0,0,0,116,0,0,0,0,0,0,1,1,0,3,0,333,0,2,335,0,"Bharathiar  Corporation High School,  North Building   West Side  South Face   Bharathiyar  Street,  Tirunelveli  Town.",Ward 28 Bharathiyar  Street 999.OVERSEAS ELECTORS,General,"Bharathiar  Corporation High School,  North Building   West Side  South Face   Bharathiyar  Street",Tirunelveli  Town.,tamilaga vettri kazhagam,116,105,11,all india anna dravida munnetra kazhagam,2,4,3,8,8,8,1,8,8,8,8,6,6,8,5,8,3.303303303303303,5
323,153,26,195,0,1,0,0,0,166,0,3,0,0,1,0,2,0,0,1,0,548,0,2,550,0,"Thaiyammaiammal  Middle  School,  East  Portion,  Northern Building,  Valampuriamman Kovil  Street,  Tirunelveli  Town.","1.Ward 25 Sathyamoorthi  Street
2.Ward 25 Sandikeswara Street
3.Ward 25 Theppakulam East  Street
4.Ward 25 North Car  Street
5.Ward 25 Nainarkulam Road
6.Ward 25 Town Clup Lane. 999.OVERSEAS ELECTORS",General,"Thaiyammaiammal  Middle  School,  East  Portion,  Northern Building,  Valampuriamman Kovil  Street",Tirunelveli  Town.,dravida munnetra kazhagam,195,166,29,tamilaga vettri kazhagam,3,4,1,9,6,9,2,9,9,6,9,5,9,9,6,9,5.291970802919708,4
324,119,15,94,0,0,0,0,2,155,1,1,1,1,0,0,1,0,0,1,0,391,0,1,392,0,"Thaiyammai  Ammal  Middle  School,  Western Portion,  North Building,  Valampuriamman Kovil  Street,  Tirunelveli  Town.","1.Ward 25 Valampuriamman Kovil  Street
2.Ward 28 Manikavasagar  Street
3.Ward 25 Swamy Sannathi  Street
4.Ward28 Sastha Kovil  Street 999.OVERSEAS ELECTORS",General,"Thaiyammai  Ammal  Middle  School,  Western Portion,  North Building,  Valampuriamman Kovil  Street",Tirunelveli  Town.,tamilaga vettri kazhagam,155,119,36,all india anna dravida munnetra kazhagam,2,4,3,10,10,5,1,6,6,10,10,6,10,10,6,10,9.207161125319693,4
325,148,19,99,1,0,1,0,0,164,0,1,0,0,2,0,1,0,0,0,0,436,0,4,440,0,"Thaiyammai  Ammal  Middle  School,  Western Portion,  South Building,  Valampuriamman Kovil  Street,  Tirunelveli  Town.",1.Ward 28 Kallathi  Street 999.OVERSEAS ELECTORS,General,"Thaiyammai  Ammal  Middle  School,  Western Portion,  South Building,  Valampuriamman Kovil  Street",Tirunelveli  Town.,tamilaga vettri kazhagam,164,148,16,all india anna dravida munnetra kazhagam,2,4,3,6,8,8,1,8,8,5,8,6,8,8,8,8,3.669724770642202,3
326,78,18,121,0,0,0,0,1,269,0,1,1,0,2,2,0,1,0,1,0,495,0,1,496,0,"S.T.C.  Puttarathi  Primary School,  West  Building, Puttarathiamman Kovil  Street,  Tirunelvelli  Town.","1.Ward 15 Dharmaraja Kovil  Street
2.Ward 15 Dharmaraja Kovil  East  Street
3.Ward 15 Puttarathiamman Kovil  Mudukku Street 999.OVERSEAS ELECTORS",General,"S.T.C.  Puttarathi  Primary School,  West  Building, Puttarathiamman Kovil  Street",Tirunelvelli  Town.,tamilaga vettri kazhagam,269,121,148,dravida munnetra kazhagam,3,4,2,11,11,7,1,7,11,5,5,11,7,11,7,11,29.8989898989899,7
327,100,63,170,3,1,0,0,1,242,0,0,0,0,0,2,2,1,0,2,0,587,0,1,588,0,"S.T.C.  Puttarathi  Primary School,  East  Building,  West Portion,  Puttarathiamman Kovil  Street,  Tirunelveli  Town.","1.Ward 15 Puttarathiamman Kovil  Street
2.Ward 15 Puttarathiamman Kovil  Street  2. 999.OVERSEAS ELECTORS",General,"S.T.C.  Puttarathi  Primary School,  East  Building,  West Portion,  Puttarathiamman Kovil  Street",Tirunelveli  Town.,tamilaga vettri kazhagam,242,170,72,dravida munnetra kazhagam,3,4,2,5,9,9,1,12,12,12,6,6,9,12,6,12,12.26575809199319,7
328,94,38,120,1,1,0,0,0,189,1,0,0,1,1,1,0,0,0,0,0,447,0,2,449,0,"S.T.C.  Puttarathi  Primary School,  East  Building,  North Portion,  Puttarathiamman Kovil  Street,  Tirunelveli  Town.","1.Ward 15 Puttarathiamman Kovil  Street
2.Ward 15 Puttarathiamman Kovil  Street  2. 999.OVERSEAS ELECTORS",General,"S.T.C.  Puttarathi  Primary School,  East  Building,  North Portion,  Puttarathiamman Kovil  Street",Tirunelveli  Town.,tamilaga vettri kazhagam,189,120,69,dravida munnetra kazhagam,3,4,2,5,5,10,1,10,5,5,5,10,10,10,10,10,15.43624161073826,3
329,156,52,146,7,0,0,0,0,363,0,2,1,0,0,0,1,0,0,0,1,729,0,3,732,0,"Adaikkalamatha Matriculation School  West  Side  Kandiaperi
-II Village  Tirunelveli  Town Saliar  Street","1.Ward 25 Parvatha Singaraja Street
2.Ward 16 Karuvelan Gundru West  Street
3.Ward 16 Baskaran Street
4.Ward 16 Gandhimathi  Street 999.OVERSEAS ELECTORS",General,"Adaikkalamatha Matriculation School  West  Side  Kandiaperi
-II Village  Tirunelveli  Town Saliar  Street","Adaikkalamatha Matriculation School  West  Side  Kandiaperi
-II Village  Tirunelveli  Town Saliar  Street",tamilaga vettri kazhagam,363,156,207,all india anna dravida munnetra kazhagam,2,4,3,5,9,9,1,6,9,9,9,6,9,9,9,6,28.39506172839506,3
330,144,42,89,5,0,0,0,0,229,0,0,0,1,0,0,1,0,0,0,2,513,0,0,513,0,Adaikkalamatha Matriculation School  Middle  Kandiaperi  -II Village  Tirunelveli  Town Saliar  Street,1.Ward 16 Karuvelan Gundru Street 999.OVERSEAS ELECTORS,General,Adaikkalamatha Matriculation School  Middle  Kandiaperi  -II Village  Tirunelveli  Town Saliar  Street,Adaikkalamatha Matriculation School  Middle  Kandiaperi  -II Village  Tirunelveli  Town Saliar  Street,tamilaga vettri kazhagam,229,144,85,all india anna dravida munnetra kazhagam,2,4,3,5,9,9,1,9,7,9,9,7,9,9,9,6,16.56920077972709,4
331,42,8,84,1,0,2,0,0,79,0,0,0,0,0,0,0,0,0,0,0,216,0,0,216,0,Adaikkalamatha Matriculation School  X Std Class Room Kandiaperi  -II Village  Tirunelveli  Town Saliar  Street,1.Ward 16 Mohamed Mushthafa Street 999.OVERSEAS ELECTORS,General,Adaikkalamatha Matriculation School  X Std Class Room Kandiaperi  -II Village  Tirunelveli  Town Saliar  Street,Adaikkalamatha Matriculation School  X Std Class Room Kandiaperi  -II Village  Tirunelveli  Town Saliar  Street,dravida munnetra kazhagam,84,79,5,tamilaga vettri kazhagam,3,4,1,5,6,6,2,6,6,6,6,6,6,6,6,6,2.314814814814815,0
332,107,66,158,3,0,0,1,1,233,1,0,0,0,0,1,2,0,0,0,0,573,0,2,575,0,Adaikkalamatha Matriculation School  New Building Kandiaperi  -II Village  Tirunelveli  Town Saliar  Street,1.Ward 15 Nethaji  Road. 999.OVERSEAS ELECTORS,General,Adaikkalamatha Matriculation School  New Building Kandiaperi  -II Village  Tirunelveli  Town Saliar  Street,Adaikkalamatha Matriculation School  New Building Kandiaperi  -II Village  Tirunelveli  Town Saliar  Street,tamilaga vettri kazhagam,233,158,75,dravida munnetra kazhagam,3,4,2,5,9,7,1,9,9,9,7,6,9,9,9,9,13.08900523560209,3
333,162,57,112,3,0,1,0,0,245,1,0,1,0,0,2,1,0,1,0,1,587,0,1,588,0,Intergrated Child Development  Centre  Karuvelangundru Street  Tirunelveli  Town,1.Ward 16 Kamatchiamman Kovil  Street 999.OVERSEAS ELECTORS,General,Intergrated Child Development  Centre  Karuvelangundru Street  Tirunelveli  Town,Intergrated Child Development  Centre  Karuvelangundru Street  Tirunelveli  Town,tamilaga vettri kazhagam,245,162,83,all india anna dravida munnetra kazhagam,2,4,3,5,11,11,1,7,11,11,6,7,11,7,11,7,14.1396933560477,6
334,225,41,165,7,1,0,1,1,323,0,0,0,0,1,2,0,0,0,0,1,768,0,2,770,0,"V K Nursery and Primary School  Southern Side  Building
78/1 Akkasalai  Vinayagar  Kovil  Street  Tirunelveli  Town","1.Ward 16 Akkasalai  Vinayagar  Kovil  Street
999.OVERSEAS ELECTORS",General,"V K Nursery and Primary School  Southern Side  Building
78/1 Akkasalai  Vinayagar  Kovil  Street  Tirunelveli  Town","V K Nursery and Primary School  Southern Side  Building
78/1 Akkasalai  Vinayagar  Kovil  Street  Tirunelveli  Town",tamilaga vettri kazhagam,323,225,98,all india anna dravida munnetra kazhagam,2,4,3,5,7,7,1,11,11,7,6,11,11,11,11,7,12.76041666666667,4
335,124,38,84,4,0,0,0,0,237,0,2,0,0,1,0,2,1,0,0,0,493,0,3,496,0,Adaikkalamatha Matriculation School  East  Side  Kandiaperi  - II Village  Tirunelveli  Town Saliar  Street,1.Ward 16 North Anavaratha Vinayagar  Kovil  Street 999.OVERSEAS ELECTORS,General,Adaikkalamatha Matriculation School  East  Side  Kandiaperi  - II Village  Tirunelveli  Town Saliar  Street,Adaikkalamatha Matriculation School  East  Side  Kandiaperi  - II Village  Tirunelveli  Town Saliar  Street,tamilaga vettri kazhagam,237,124,113,all india anna dravida munnetra kazhagam,2,4,3,5,9,9,1,9,9,7,9,6,7,9,9,9,22.92089249492901,4
336,131,26,96,1,0,0,0,4,193,0,1,0,0,1,1,0,1,0,2,0,457,0,1,458,0,"Corporation Union Primary School,  Thiruvalluvar  Street, Dharmaraja Ward II,  Main New Building,  Tirunelveli  Town.","1.Ward 15 Nethaji  Street
2.Ward 16 Kamaraj  Street
3.Ward 16 Veerasaiva Anaivaratha Vinayagar  Kovil  Street
4.Ward 16 Nallamuthamman Kovil  West  Street 999.OVERSEAS ELECTORS",General,"Corporation Union Primary School,  Thiruvalluvar  Street, Dharmaraja Ward II,  Main New Building",Tirunelveli  Town.,tamilaga vettri kazhagam,193,131,62,all india anna dravida munnetra kazhagam,2,4,3,7,11,5,1,11,11,7,7,11,7,11,6,11,13.56673960612692,5
337,61,29,232,0,0,0,0,2,244,0,17,1,0,0,3,1,0,0,0,0,590,0,2,592,0,"Corporation Primary School,  Thiruvalluvar  Street,  West Portion,  New Building,  Dharmaraja Ward I,  Tirunelveli  Town.","1.Ward 15 Thiruvalluvar  3rd Part
2.Ward 15 Tiruvalluvar  1st  Part
3.Ward 16 Thiruneelagandar  Street
4.Ward 16 Nallamuthamman South Street
5.Ward 16 Nallamuthamman Sannathi  Sreet
6.Ward 15 Thiruvalluvar  3rd Part  € 999.OVERSEAS ELECTORS",General,"Corporation Primary School,  Thiruvalluvar  Street,  West Portion,  New Building,  Dharmaraja Ward I",Tirunelveli  Town.,tamilaga vettri kazhagam,244,232,12,dravida munnetra kazhagam,3,4,2,9,9,6,1,7,9,9,5,7,9,9,9,9,2.033898305084746,5
338,56,21,166,1,0,0,0,0,114,0,67,0,1,1,1,0,0,0,1,0,429,0,0,429,0,"Sivashunmugam Harijan Primary School  Rajajipuram, Tirunelveli  Town.","1.Ward 15 Muppidathiamman Kovil  Street
2.Ward 15 Manthiramoorthi  Middle  Street
3.Ward 15 Rajajipuram 999.OVERSEAS ELECTORS",General,Sivashunmugam Harijan Primary School  Rajajipuram,Tirunelveli  Town.,dravida munnetra kazhagam,166,114,52,tamilaga vettri kazhagam,3,4,1,5,10,10,2,10,5,5,5,10,10,10,5,10,12.12121212121212,4
339,74,19,211,0,0,0,1,0,126,0,61,3,0,1,1,0,1,0,2,0,500,0,0,500,0,Child   Centre  Rajajipuram Centre  Number  -33628090416 Tirunelveli  Town.,"1.Ward 15 Nallakutti  Kudiyiruppu North Street
2.Ward 15 Nallakutti  Kudiyiruppu Patcheri
3.Ward15 Muppidathiamman Kovil  North Street
4.Ward 15 Sankarankovil  Road 999.OVERSEAS ELECTORS",General,Child   Centre  Rajajipuram Centre  Number  -33628090416 Tirunelveli  Town.,Child   Centre  Rajajipuram Centre  Number  -33628090416 Tirunelveli  Town.,dravida munnetra kazhagam,211,126,85,tamilaga vettri kazhagam,3,4,1,10,10,10,2,5,10,7,7,10,7,10,6,10,17.0,8
340,36,24,340,1,1,0,0,1,170,0,53,6,0,1,0,0,0,0,0,0,633,0,5,638,0,"Presentation Convent  Matriculation Higher  Secondary School,South Portion Ramayanpatti","1.Ward 15 Vaikal  Street
2.Ward 15 Kottaiyadi  Street
3.Ward 15 Parusulla Thaikka Street 999.OVERSEAS ELECTORS",General,Presentation Convent  Matriculation Higher  Secondary School,South Portion Ramayanpatti,dravida munnetra kazhagam,340,170,170,tamilaga vettri kazhagam,3,4,1,6,6,6,2,5,10,6,10,10,10,10,10,10,26.85624012638231,7
341,55,32,133,0,0,1,0,1,189,0,9,0,0,0,2,0,0,0,0,1,423,0,0,423,0,"Moorthi  Primary School  Nadar  Street  ,  Kandiyaprei  Village","1.Ward 15 Elanthakulam Devar  Street
2.Ward 15 Elanthakulam Harijan Street
3.Ward15 Nadar  Jebasthiyar  Kovil  Street
4.Ward 15 New Colony Vella Kovil  Street 999.OVERSEAS ELECTORS",General,Moorthi  Primary School  Nadar  Street,Kandiyaprei  Village,tamilaga vettri kazhagam,189,133,56,dravida munnetra kazhagam,3,4,2,8,8,6,1,8,8,8,5,8,8,8,8,6,13.2387706855792,3
342,114,39,125,0,0,0,0,1,211,0,30,4,1,2,3,1,0,1,0,0,532,0,0,532,0,Integrated Children's Centre   Kandiyaperi  -II Centre Number  -  33628090205 Kandiyaprei  Village,"1.Ward 15 Harijana Perumal  Kovil  Street
2.Ward 15 Harijana Ganesan Kovil  Street
3.Ward 15 Devar  South Street 999.OVERSEAS ELECTORS",General,Integrated Children's Centre   Kandiyaperi  -II Centre Number  -  33628090205 Kandiyaprei  Village,Integrated Children's Centre   Kandiyaperi  -II Centre Number  -  33628090205 Kandiyaprei  Village,tamilaga vettri kazhagam,211,125,86,dravida munnetra kazhagam,3,4,2,12,12,8,1,5,8,7,6,8,12,8,12,12,16.16541353383458,12
343,149,91,162,1,1,0,0,1,305,2,0,1,0,2,0,0,1,0,0,0,716,0,2,718,0,"T.D.T.A.  Primary School,  South Portion,  Thachanallur.","1.Ward 14 Theneerkulam East  West  Lane  Street
2.Ward14 Krishnan Kovil  South Line
3.Ward 14 Tirunelveli  Road (Thenpuram) 999.OVERSEAS ELECTORS",General,"T.D.T.A.  Primary School,  South Portion",Thachanallur.,tamilaga vettri kazhagam,305,162,143,dravida munnetra kazhagam,3,4,2,6,6,6,1,6,11,5,11,11,6,11,11,11,19.97206703910614,4
344,150,58,136,0,1,0,0,0,176,0,1,0,0,1,0,1,1,1,1,0,527,0,0,527,0,"VAO Office,  Chathirampudukulam","1.Ward 14 Theneerkulam Pajanaimada Street
2.Ward 14 Theneerkulam Paul  Pannai  Street
3.Ward 14 Theineerkulam South Street  (Vadapuram). 999.OVERSEAS ELECTORS",General,VAO Office,Chathirampudukulam,tamilaga vettri kazhagam,176,150,26,all india anna dravida munnetra kazhagam,2,4,3,11,5,11,1,11,11,5,11,5,5,5,5,11,4.933586337760911,5
345,162,70,178,0,0,3,0,0,260,0,0,1,2,1,1,0,1,1,2,0,682,0,4,686,0,"T.D.T.A Primary School,  North Portion,  Thachanallur.","1.Ward 14 Theneerkulam North Street
2.Ward   14 Theneerkulam Lane  Street
3.Ward 14 Ekkaliammn Kovil  Street
4.Ward 13 Kiramasavadi  Street  (West  Portion)
5.Ward 13 Kiramasavadi  East  Section
6.Ward 13 Thalavaipuram School  Street
7.Ward 13 Gangaiamman Kovil  Street
8.Ward 13 Perumal  Kovil  South Street
9.Ward 14 Krishnan Kovil  North Street 10Ward 14 Theneerkulam New Colony 999.OVERSEAS ELECTORS",General,"T.D.T.A Primary School,  North Portion",Thachanallur.,tamilaga vettri kazhagam,260,178,82,dravida munnetra kazhagam,3,4,2,12,12,12,1,7,5,7,7,12,7,7,5,12,12.02346041055718,9
346,103,85,132,3,0,0,1,1,218,0,1,0,0,1,2,1,0,1,0,0,549,0,2,551,0,"Panchayat  Union Primary School,  Main Building,  West Portion,  Thachanallur.","1.Ward 14 Periyaamman Kovil  Street
2.Ward 1 Seeniyappanthiruthu West  Street
3.Ward 1 Balpannai  Street
4.Ward 1 Middle  Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  Main Building,  West Portion",Thachanallur.,tamilaga vettri kazhagam,218,132,86,dravida munnetra kazhagam,3,4,2,5,11,7,1,11,11,7,6,7,11,7,11,11,15.66484517304189,5
347,118,72,120,3,0,1,0,2,228,2,0,0,0,1,3,1,0,0,0,4,555,0,0,555,0,Coporation Primary School  Centre  Portion Thachanallur,"1.Ward 1 North Street
2.Ward 14 Muthumariamman Kovil  Street
3.Ward 14 Durgaiamman Kovil  Street
4.Ward 14 Tirunelveli  Town Road Vadapaguthy
5.Ward 14 Tirunelveli  Town Road Vadapagam 999.OVERSEAS ELECTORS",General,Coporation Primary School  Centre  Portion Thachanallur,Coporation Primary School  Centre  Portion Thachanallur,tamilaga vettri kazhagam,228,120,108,dravida munnetra kazhagam,3,4,2,6,11,8,1,11,11,9,6,9,11,11,11,5,19.45945945945946,9
