Serial No. Of Polling Station,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Bahujan Samaj Party,Naam Indiar Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Thamizh Perarasu Katchi,Tamilaga Vettri Kazhagam,Puthiya Makkal Tamil Desam Katchi,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Independent.5,Independent.6,Independent.7,Independent.8,Independent.9,Independent.10,Independent.11,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Locality,Building in Which it will be Located,Polling Area,Whether for all Voters or men olny or women only,Total_Valid_Votes_Clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Dravida Munnetra Kazhagam_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Bahujan Samaj Party_Rank,Naam Indiar Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Thamizh Perarasu Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Independent.4_Rank,Independent.5_Rank,Independent.6_Rank,Independent.7_Rank,Independent.8_Rank,Independent.9_Rank,Independent.10_Rank,Independent.11_Rank,Margin_Percentage,Total_Independent_Votes
106,201,173,13,0,0,0,0,116,0,0,0,0,0,0,0,0,1,1,0,0,1,506,0,2,508,0,Chathirapatti,"Panchayat  Union  Primary  School, Chathirapatti.","1.Sathirapatti  (R.V)  And  (P)  East  Street  Block  1  ,  2.Sathira  Patti  (R.V)  And
(P)  Middle  Street  Block  1  ,  3.Sathira  Patti  (R.V)  And  (P)  West  Street  Block 2  ,  4.Sathira  Patti  (R.V)  And  (P)  Colony  Street  Block  2  ,  999.OVERSEAS ELECTORS",All  Voters,506,All India Anna Dravida Munnetra Kazhagam,201,173,28,Dravida Munnetra Kazhagam,2,1,4,3,8,8,8,8,8,8,8,8,8,8,8,8,5,5,8,8,5,5.533596837944664,3
107,249,182,26,0,0,1,1,243,1,3,0,1,0,0,3,2,2,1,0,0,2,717,0,2,719,0,Idaisevel,"Panchayat  Union  Middle  School  ,  Idaisevel.","1.Idaiseval  (R.V)  And  (P)  Idaiseval  Block  1  ,  2.Idaiseval  (R.V)  And  (P)  Adhi Diravidar  Colony  Block  1  ,  3.Idaiseval  (R.V)  And  (P)  Parvathy  Amman
Kovil  Street  Block  3  ,  999.OVERSEAS  ELECTORS",All  Voters,717,All India Anna Dravida Munnetra Kazhagam,249,243,6,Tamilaga Vettri Kazhagam,3,1,4,2,15,15,10,10,10,5,15,10,15,15,5,7,7,10,15,15,7,0.8368200836820083,14
108,305,179,36,0,0,1,0,142,0,3,0,0,0,0,0,0,3,2,0,0,0,671,0,2,673,0,Idaisevel,"Panchayat  Union  Middle  School  ,  North  Side
,  Idaisevel.","1.Idaiseval  (R.V)  And  (P)  Kaliamman  Kovil  Street  Block  2  ,  2.Idaiseval (R.V)  And  (P)  Karthikaipatti  Block  4  ,  3.Idaiseval  (R.V)  And  (P) Nachiarpuram  Block  5  ,  999.OVERSEAS  ELECTORS",All  Voters,671,All India Anna Dravida Munnetra Kazhagam,305,179,126,Dravida Munnetra Kazhagam,2,1,4,3,9,9,8,9,9,5,9,9,9,9,9,9,5,7,9,9,9,18.7779433681073,8
109,174,245,22,0,0,1,3,156,0,5,0,0,0,1,3,1,2,7,0,0,0,620,0,3,623,0,Uthupatti,"Govt  .Hr.  Sec.  School  ,
Southern  West  Building  ,  Uthupatti.","1.Uoothupatti  (R.V)  And  (P)  Uoothupatti  East  Street  Ward  1  , 2.Uoothupatti  (R.V)  And  (P)  Uoothupatti  North  Street  Ward  2  , 999.OVERSEAS  ELECTORS",All  Voters,620,Dravida Munnetra Kazhagam,245,174,71,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,13,13,10,7,13,6,13,13,13,10,7,10,9,5,13,13,13,11.45161290322581,19
110,281,140,26,0,0,0,0,102,0,4,0,0,0,0,0,2,2,0,0,0,0,557,0,0,557,0,Uthupatti,"Panchayat  union  Primary  school  ,  East Building  ,  Uthupatti.","1.Uoothupatti  (R.V)  And  (P)  Uoothupatti  Middle  Street  Ward  3  , 2.Uoothupatti  (R.V)  And  (P)  Uoothupatti  West  Street  Ward  4  ,
3.Uoothupatti  (R.V)  And  (P)  North  Kumarapuram  Ward  5  ,  4.Uoothupatti
(R.V)  And  (P)  South  Kumarapuram  Ward  6  ,  999.OVERSEAS  ELECTORS",All  Voters,557,All India Anna Dravida Munnetra Kazhagam,281,140,141,Dravida Munnetra Kazhagam,2,1,4,3,8,8,8,8,8,5,8,8,8,8,8,6,6,8,8,8,8,25.31418312387791,8
111,299,192,62,2,1,0,1,270,3,0,0,0,2,0,1,2,1,3,1,0,0,840,0,1,841,0,Manthithoppu,"Tamil  Baptist  Primary  School, North  side  ,  Manthithoppu.","1.Manthithoppu(R.V)  And  (P)  Manthithoppu  block  1  ,
2.Manthithoppu(R.V)  And  (P)  Manthithoppu  Block  3  ,  999.OVERSEAS ELECTORS",All  Voters,840,All India Anna Dravida Munnetra Kazhagam,299,270,29,Tamilaga Vettri Kazhagam,3,1,4,2,7,10,15,10,5,15,15,15,7,15,10,7,10,5,10,15,15,3.452380952380953,10
112,298,211,53,1,1,1,1,245,0,4,0,0,0,0,0,2,1,0,0,0,0,818,0,3,821,0,Manthithoppu,"Tamil  Baptist  Primary  School,  South  Portion, Manthithoppu.","1.Manthithoppu(R.V)  And  (P)  Manthithoppu  Block  2  , 2.Manthithoppu(R.V)  And  (P)  Manthithoppu  Block  4  ,
3.Manthithoppu(R.V)  And  (P)  Manthithoppu  Block  5  ,  999.OVERSEAS
ELECTORS",All  Voters,818,All India Anna Dravida Munnetra Kazhagam,298,245,53,Tamilaga Vettri Kazhagam,3,1,4,2,7,7,7,7,12,5,12,12,12,12,12,6,7,12,12,12,12,6.47921760391198,7
113,233,152,50,0,0,2,2,257,1,0,0,0,0,0,0,4,2,1,1,0,2,707,0,0,707,0,Manthithoppu,"Tamil  Baptist  Primary  School  ,South  Side  of the  Panchayat  Office  ,  Manthithoppu.","1.Manthithoppu  (R,V)  And  (P)  Manthithoppu  (narikkuravar  utpada)  , 999.OVERSEAS  ELECTORS",All  Voters,707,Tamilaga Vettri Kazhagam,257,233,24,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,13,13,6,6,10,13,13,13,13,13,13,5,6,10,10,13,6,3.394625176803395,10
114,256,144,52,0,0,3,1,230,2,2,0,0,0,1,0,2,4,0,0,0,0,697,0,3,700,0,Manthithoppu,"Tamil  Baptist  Primary  School  ,  South-East Side  of  the  Panchayat  Office  ,  Manthithoppu.","1.Manthithoppu  (R,V)  And  (P)  Manthithoppu  (narikkuravar  utpada)  , 999.OVERSEAS  ELECTORS",All  Voters,697,All India Anna Dravida Munnetra Kazhagam,256,230,26,Tamilaga Vettri Kazhagam,3,1,4,2,12,12,6,10,7,7,12,12,12,10,12,7,5,12,12,12,12,3.730272596843615,9
115,178,185,55,1,0,2,3,403,1,2,0,0,0,2,3,2,1,0,1,0,0,839,0,2,841,0,Manthithoppu,"Shenbagarajan  Memorial  Primary  School, North  Building  West  Facing  1st  Room, Manthithoppu.","1.Manthithoppu  (R,V)  And  (P)  Manthithoppu  (narikkuravar  utpada)  (Part 1)  (Door  No,  1  to  611)  999.OVERSEAS  ELECTORS",All  Voters,839,Tamilaga Vettri Kazhagam,403,185,218,Dravida Munnetra Kazhagam,2,3,4,1,11,15,7,5,11,7,15,15,15,7,5,7,11,15,11,15,15,25.98331346841478,11
116,196,149,50,0,0,1,1,266,0,2,0,0,0,1,0,4,2,3,0,0,0,675,0,0,675,0,Manthithoppu,"Shenbagarajan  Memorial  Primary  School, North  Building  West  Facing  2nd  Room, Manthithoppu.","1.Manthithoppu  (R,V)  And  (P)  Manthithoppu  (narikkuravar  utpada)  (Part 2)  (Door  No.  612  from)  ,  999.OVERSEAS  ELECTORS",All  Voters,675,Tamilaga Vettri Kazhagam,266,196,70,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,12,12,9,9,12,7,12,12,12,9,12,5,7,6,12,12,12,10.37037037037037,12
117,154,272,74,1,0,2,2,303,1,3,0,1,0,0,2,0,2,2,0,0,0,819,0,1,820,0,Mudukkumeendanp atti,"Sevai  Maiyam,  Mudukkumeendanpatti.","1.Mudukkumendan  patti  (R.V)  And  (P)  Mudukkumendanpatti  ward  1  , 2.Mudukkumendan  patti  (R.V)  And  (P)  Gopalapuram  Ward  4  , 999.OVERSEAS  ELECTORS",All  Voters,819,Tamilaga Vettri Kazhagam,303,272,31,Dravida Munnetra Kazhagam,2,3,4,1,11,14,6,6,11,5,14,11,14,14,6,14,6,6,14,14,14,3.785103785103785,10
118,145,231,47,1,0,1,1,207,1,0,0,1,0,0,0,1,1,1,0,0,0,638,0,0,638,0,Mudukkumeendanp atti,"Panchyat  Library  office,  Mudukkumeendan patti","1.Mudukkumendan  patti  (R.V)  And  (P)  Mudukkumendanpatti  Ward  2  , 2.Mudukkumendan  patti  (R.V)  And  (P)  M.Duraisamypuram  Ward  3  , 999.OVERSEAS  ELECTORS",All  Voters,638,Dravida Munnetra Kazhagam,231,207,24,Tamilaga Vettri Kazhagam,1,3,4,2,5,13,5,5,5,13,13,5,13,13,13,5,5,5,13,13,13,3.761755485893417,4
119,238,283,64,0,0,0,0,288,0,10,0,0,0,1,1,1,1,0,0,0,2,889,0,1,890,0,Nalattinputhur,"Panchyat  Union  Primary  School,  North Building  ,  Nalattinputhur.","1.Naleattenputhdur  (R.V)  And  (P)  Naleattenputhdur  ,  999.OVERSEAS ELECTORS",All  Voters,889,Tamilaga Vettri Kazhagam,288,283,5,Dravida Munnetra Kazhagam,2,3,4,1,11,11,11,11,11,5,11,11,11,7,7,7,7,11,11,11,6,0.562429696287964,16
120,245,242,52,0,1,0,1,253,2,10,0,0,0,1,2,2,3,2,0,1,0,817,0,1,818,0,Nalattinputthur,"Panchayat  Union  Primary  School,  West Building  ,  Nalattinputthur.","1.Naleattenputhdur  (R.V)  And  (P)  Naleattenputhdur  ,  999.OVERSEAS ELECTORS",All  Voters,817,Tamilaga Vettri Kazhagam,253,245,8,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,15,11,15,11,7,5,15,15,15,11,7,7,6,7,15,11,15,0.9791921664626682,21
121,197,154,46,0,0,1,0,234,3,3,0,0,0,0,2,2,1,2,0,0,0,645,0,1,646,0,Nallattinputthur,"Panchyat  Union  Primary  School,  East Building,  Nalattinputhur","1.Naleattenputhdur(R.V)  And  (P)  Naleattenputhdur  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,645,Tamilaga Vettri Kazhagam,234,197,37,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,12,12,10,12,5,5,12,12,12,12,7,7,10,7,12,12,12,5.736434108527131,10
122,233,133,39,0,0,1,2,238,2,4,1,1,0,0,2,1,1,1,1,0,1,661,0,1,662,0,Nallattinputthur,"Panchyat  Union  Primary  School,  west Building  North  Side  ,  Nalattinputhur.","1.Naleattenputhdur(R.V)  And  (P)  Naleattenputhdur  block  3  , 999.OVERSEAS  ELECTORS",All  Voters,661,Tamilaga Vettri Kazhagam,238,233,5,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,17,17,9,6,6,5,9,9,17,17,6,9,9,9,9,17,9,0.7564296520423601,13
123,157,131,43,0,0,1,2,295,0,9,0,1,0,1,0,1,1,1,0,2,0,645,0,7,652,0,Nallattinputthur,"Panchayat  Union  Primary  School,  West Building,  North  side,  East  facing  room, Nalatinputhur","1.Naleattenputhdur  (R.V)  And  (P)  V.P.  Chittan  Nagar  ,  999.OVERSEAS ELECTORS",All  Voters,645,Tamilaga Vettri Kazhagam,295,157,138,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,14,14,8,6,14,5,14,8,14,8,14,8,8,8,14,6,14,21.3953488372093,16
124,355,223,51,1,0,1,1,280,3,8,0,1,0,0,0,1,0,3,0,0,0,928,0,4,932,0,Thonugal,"Tamil  Baptist  Primary  School,  Thonugal.","1.Thonnukal  (R.V)  And  (P)  Keela  street  block  1  ,  2.Thonugal  (R.V)  And  (P) Padarindhapuli  Block  3  ,  999.OVERSEAS  ELECTORS",All  Voters,928,All India Anna Dravida Munnetra Kazhagam,355,280,75,Tamilaga Vettri Kazhagam,3,1,4,2,8,13,8,8,6,5,13,8,13,13,13,8,13,6,13,13,13,8.081896551724139,13
125,147,186,28,0,0,6,1,166,2,2,0,0,1,0,0,2,5,0,0,0,0,546,0,1,547,0,Thonugal,"Community  Hall  ,  Thonugal.","1.Thonugal  (R.V)  And  (P)  Mela  Street  Block  2  ,  999.OVERSEAS ELECTORS",All  Voters,546,Dravida Munnetra Kazhagam,186,166,20,Tamilaga Vettri Kazhagam,1,3,4,2,12,12,5,10,7,7,12,12,10,12,12,7,6,12,12,12,12,3.663003663003663,10
126,317,129,25,0,0,0,2,173,0,2,0,0,0,0,0,0,0,0,0,0,0,648,0,6,654,0,Alampatti,"T.D.T.A  Primary  School,  Alampatti.","1.Innam  maniachi  (R.V)  And  (P)  Vinayaga  nagar  ,  2.Innam  maniachi  (R.V) And  (P)  Meenachi  Nagar  ,  3.Innam  maniachi  (R.V)  And  (P)  E.B.Colony  , 999.OVERSEAS  ELECTORS",All  Voters,648,All India Anna Dravida Munnetra Kazhagam,317,173,144,Tamilaga Vettri Kazhagam,3,1,4,2,7,7,7,5,7,5,7,7,7,7,7,7,7,7,7,7,7,22.22222222222222,2
127,237,287,82,0,0,0,0,235,1,15,0,1,0,0,0,0,1,1,0,0,0,860,0,1,861,0,Alampatti,"Child  Welfare  Center  ,  Alampatti  .","1.Innam  maniachi  (R.V)  And  (P)  Alampatti  ,  999.OVERSEAS  ELECTORS",All  Voters,860,Dravida Munnetra Kazhagam,287,237,50,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,10,10,10,10,6,5,10,6,10,10,10,10,6,6,10,10,10,5.813953488372093,18
128,195,168,29,2,0,1,0,242,0,4,0,0,0,0,0,2,0,0,0,0,0,643,0,7,650,0,Alampatti,"Community  Hall,  Alampatti.","1.Innam  maniachi  (R.V)  And  (P)  Salaiputhur  ,  2.Innam  maniachi  (R.V) And  (P)  Tamilnadu  Housing  Board  ,  3.Thunukal  (R.V)  And(P)  Kangan kulam  ,  999.OVERSEAS  ELECTORS",All  Voters,643,Tamilaga Vettri Kazhagam,242,195,47,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,6,9,8,9,9,5,9,9,9,9,9,6,9,9,9,9,9,7.309486780715396,6
129,329,122,24,0,0,0,2,232,0,0,0,0,0,0,0,0,1,1,0,0,1,712,0,4,716,0,Alampatti,"Govt.Arts  and  science  College,  Krishnanagar.","1..Innam  maniachi  (R.V)  And  (P)  Tamilnadu  Housing  Board  ,  3, 999.OVERSEAS  ELECTORS",All  Voters,712,All India Anna Dravida Munnetra Kazhagam,329,232,97,Tamilaga Vettri Kazhagam,3,1,4,2,9,9,9,5,9,9,9,9,9,9,9,9,6,6,9,9,6,13.62359550561798,3
130,229,90,9,0,0,0,2,102,1,0,0,0,1,0,0,1,1,0,0,0,0,436,0,1,437,0,Athaikondan,"Panchayat  Union  Primary  School,  North Building  West  side,   Athaikondan","1.Innam  maniachi  (R.V)  And  (P)  Seenivasa  Nagar  North  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,436,All India Anna Dravida Munnetra Kazhagam,229,102,127,Tamilaga Vettri Kazhagam,3,1,4,2,10,10,10,5,6,10,10,10,6,10,10,6,6,10,10,10,10,29.12844036697247,3
131,174,66,6,0,0,1,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,4,356,0,Athaikondan,"Panchayat  Union  Primary  School  ,  South Building,  North  facing  room,  Athaikondan","1.Innam  maniachi  (R.V)  And  (P)  Seenivasanagar  south  block  6  , 999.OVERSEAS  ELECTORS",All  Voters,352,All India Anna Dravida Munnetra Kazhagam,174,105,69,Tamilaga Vettri Kazhagam,3,1,4,2,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,19.60227272727273,0
132,296,98,37,0,0,3,0,201,0,0,0,1,0,1,0,0,1,1,0,0,1,640,0,2,642,0,Athaikondan,"Panchayat  Union  Primary  School,  North Building  East  side,  Athaikondan","1.Innam  maniachi  (R.V)  And  (P)  Athaikondon  North  Block  6  ,  (Part  1) (Door  No  1  to  2103D)  999.OVERSEAS  ELECTORS",All  Voters,640,All India Anna Dravida Munnetra Kazhagam,296,201,95,Tamilaga Vettri Kazhagam,3,1,4,2,11,11,5,11,11,11,11,6,11,6,11,11,6,6,11,11,6,14.84375,5
133,318,146,34,1,0,2,0,240,0,0,0,1,1,0,0,0,1,0,0,0,0,744,0,2,746,1,Athaikondan,"Panchyat  Union  Primary  School,  North Building  west  Portion  North  Room, Athaikondan","1.Innam  maniachi  (R.V)  And  (P)  Athaikondon  North  Block  6  ,  (Part  1) (Door  No  2104  from)  2.Innam  maniachi  (R.V)  And  (P)  Athaikondan  Block  6
,  3.Innam  maniachi  (R.V)  And  (P)  Srinivasa  Nagar  Street  4  Block  6  ,
4.Innam  maniachi  (R.V)  And  (P)  Srinivasa  Nagar  Street  5  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,744,All India Anna Dravida Munnetra Kazhagam,318,240,78,Tamilaga Vettri Kazhagam,3,1,4,2,6,10,5,10,10,10,10,6,6,10,10,10,6,10,10,10,10,10.48387096774194,3
134,178,62,6,0,0,1,0,132,0,0,0,1,0,0,0,1,0,1,0,0,0,382,0,4,386,0,Athaikondan,"Panchayat  Union  Primary  School,  South Building  South  room   Athaikondan","1.Innam  maniachi  (R.V)  And  (P)  Srinivasa  Nagar  Street  1  Block  6  ,
2.Innam  maniachi  (R.V)  And  (P)  Srinivasa  Nagar  Street  2  Block  6  ,
3.Innam  maniachi  (R.V)  And  (P)  Srinivasa  Nagar  Street  3  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,382,All India Anna Dravida Munnetra Kazhagam,178,132,46,Tamilaga Vettri Kazhagam,3,1,4,2,9,9,5,9,9,9,9,5,9,9,9,5,9,5,9,9,9,12.04188481675393,3
135,146,115,19,0,0,0,1,184,1,0,0,0,0,0,0,0,0,1,0,0,0,467,0,4,471,0,Inammaniachi,"Sorna  Educational  Institutions  South  facing building,  East  portion,  Inammaniachi","1.Innam  maniachi  (R.V)  And  (P)  Indira  nagar  first  main  road  ,Door  No.  1 to  1139  999.OVERSEAS  ELECTORS",All  Voters,467,Tamilaga Vettri Kazhagam,184,146,38,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,8,8,8,5,5,8,8,8,8,8,8,8,8,5,8,8,8,8.137044967880087,1
136,115,82,20,0,0,1,0,138,0,1,0,0,0,0,0,0,0,0,0,0,1,358,0,0,358,0,Inammaniachi,"Sorna  Educational  Institutions  South  facing building,  West  portion,  Inammaniachi","1.Innam  maniachi  (R.V)  And  (P)  Indira  nagar  first  main  road  Door  No. 1140  above,  999.OVERSEAS  ELECTORS",All  Voters,358,Tamilaga Vettri Kazhagam,138,115,23,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,8,8,5,8,8,5,8,8,8,8,8,8,8,8,8,8,5,6.424581005586592,2
137,261,118,22,0,1,1,1,223,0,0,0,0,0,0,0,0,1,1,0,0,0,629,0,3,632,0,Inammniachi,"Sorna  Educational  Institutions  south  facing building,  Middle  portion,  Inam  Maniyachi.","1.Innam  maniachi  (R.V)  And  (P)  IndiraNagar  SecondMain  Road  ,  2.Innam maniachi  (R.V)  And  (P)  IndiraNagar  Vettrivinayagar  Kovil  Road  ,  3.Innam maniachi  (R.V)  And  (P)  IndiraNagar  Third  Mainl  Road  ,  999.OVERSEAS ELECTORS",All  Voters,629,All India Anna Dravida Munnetra Kazhagam,261,223,38,Tamilaga Vettri Kazhagam,3,1,4,2,10,5,5,5,10,10,10,10,10,10,10,10,5,5,10,10,10,6.041335453100159,2
138,189,101,36,1,0,1,0,248,0,2,0,0,1,0,0,0,1,2,0,0,0,582,0,1,583,0,Inammniachi,"Sorna  Educational  Institutions  West  side building,  North  Portion,  Inammaniachi","1.Innam  maniachi  (R.V)  And  (P)  Indira  Nagar  2nd  Street  Block  6  ,
2.Innam  maniachi  (R.V)  And  (P)  Indira  Nagar  West  Street  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,582,Tamilaga Vettri Kazhagam,248,189,59,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,7,11,7,11,11,5,11,11,7,11,11,11,7,5,11,11,11,10.13745704467354,6
139,162,121,20,2,0,5,1,197,0,0,0,0,0,0,0,0,1,1,0,1,0,511,0,1,512,0,Inammniachi,"Sorna  Educational  Institutions  West  side building,  South  Portion,  Inammaniachi","1.Innam  maniachi  (R.V)  And  (P)  Athaigondan  indira  nagar  12th  street block  6  ,  2.Innam  maniachi  (R.V)  And  (P)  Indira  Nagar  South  Street  Block 6  ,  999.OVERSEAS  ELECTORS",All  Voters,511,Tamilaga Vettri Kazhagam,197,162,35,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,6,11,5,7,11,11,11,11,11,11,11,11,7,7,11,7,11,6.849315068493151,3
140,172,337,28,0,0,2,0,160,0,0,0,1,0,0,0,0,1,0,1,0,0,702,0,1,703,0,Inammaniachi,"Bharathi  Primary  school,  North  Side Inammaniachi","1.Innammaniachi  (R.V)  And  (P)  West  street  ,  2.Innammaniachi  (R.V)  And
(P)  Middle  Street  ,  999.OVERSEAS  ELECTORS",All  Voters,702,Dravida Munnetra Kazhagam,337,172,165,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,9,9,5,9,9,9,9,6,9,9,9,9,6,9,6,9,9,23.5042735042735,3
141,152,282,35,0,0,2,1,175,0,0,0,0,0,0,0,0,0,2,0,1,0,650,0,0,650,0,Inammaniachi,"Child  Welfare  Center,  South  Building, Inammaniachi","1.Innammaniachi  (R.V)  And  (P)  East  Street  ,  2.Innammaniachi  (R.V)  And
(P)  North  Street  ,  999.OVERSEAS  ELECTORS",All  Voters,650,Dravida Munnetra Kazhagam,282,175,107,Tamilaga Vettri Kazhagam,1,3,4,2,9,9,5,7,9,9,9,9,9,9,9,9,9,5,9,7,9,16.46153846153846,3
142,101,219,15,0,0,0,0,87,0,0,0,0,0,0,1,0,1,1,0,0,0,425,0,0,425,0,Inammaniachi,"Bharathi  Primary  school,  South  Side Inammaniachi","1.Innammaniachi(R.V)  And  (P)  Middle  Street  Block  3  ,
2.Innammaniachi(R.V)  And  (P)  Seenivasa  Nagar  2  Block  3  , 3.Innammaniachi(R.V)  And  (P)  Seenivasa  Nagar3  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,425,Dravida Munnetra Kazhagam,219,101,118,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,8,8,8,8,8,8,8,8,8,8,5,8,5,5,8,8,8,27.76470588235294,3
143,133,156,17,0,0,0,2,94,0,1,0,1,0,0,0,1,3,1,0,0,0,409,0,0,409,0,Inammaniachi,"Community  Hall  ,  North  Portion,  Inam maniyachi","1.Innammaniachi(R.V)  And  (P)  Main  road  block  3  ,  2.Innammaniachi(R.V) And  (P)  Seenivasa  Nagar  1  Block,  999.OVERSEAS  ELECTORS",All  Voters,409,Dravida Munnetra Kazhagam,156,133,23,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,11,11,11,6,11,7,11,7,11,11,11,7,5,7,11,11,11,5.623471882640587,7
144,141,109,9,0,0,0,0,72,0,0,0,2,0,0,1,1,1,0,0,0,0,336,0,1,337,1,Inammaniachi,"Community  Hall  ,  East  Portion,  Inam maniyachi","1.Innammaniachi(R.V)  And  (P)  ByPass  Road  MalePuram  Block 2.Innammaniachi(R.V)  And  (P)  ByPass  Road  KeelPuramBlock3 999.OVERSEAS  ELECTORS  ,",All  Voters,336,All India Anna Dravida Munnetra Kazhagam,141,109,32,Dravida Munnetra Kazhagam,2,1,4,3,9,9,9,9,9,9,9,5,9,9,6,6,6,9,9,9,9,9.523809523809524,5
145,251,85,17,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,5,449,0,Kovilpatti,"Lakshmi  Mills  Matriculation  School,  west building  Std  V
Mela  Colony,  Kovilpatti.","1.Innammaniachi  (R.V)  And  (P)  Lakshmi  mill  colony  Block  4  ,
2.Innammaniachi  (R.V)  And  (P)  Arsutha  Nagar(Kathiraesan  Kovil  Lower) Block  4  ,  99.  OVERSEAS  ELECTORS",All  Voters,444,All India Anna Dravida Munnetra Kazhagam,251,91,160,Tamilaga Vettri Kazhagam,3,1,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,36.03603603603604,0
146,97,77,3,1,0,0,0,74,0,1,0,0,0,1,0,0,0,0,0,1,1,256,0,3,259,0,Kovilpatti,"Lakshmi  Mills  Matriculation  School,  west building  Std  III
Mela  Colony,  Kovilpatti.","1.Innammaniachi  (R.V)  And  (P)  North  Gangankulam  Main  Street  Block  4  , 2.Innammaniachi  (R.V)  And  (P)  North  Indra  nagar  Main  Street  ,
3.Innammaniachi  (R.V)  And  (P)  North  Indra  nagar  Atthaikondan  Road  ,
999.OVERSEAS  ELECTORS",All  Voters,256,All India Anna Dravida Munnetra Kazhagam,97,77,20,Dravida Munnetra Kazhagam,2,1,4,3,5,10,10,10,10,5,10,10,10,5,10,10,10,10,10,5,5,7.8125,4
147,117,253,13,0,0,1,1,137,0,0,1,0,0,0,1,1,1,2,0,0,0,528,0,0,528,0,Avalnattham,"Panchayat  Union  Primary  School  ,  West Portion,  South  Building  ,Avalnattham","1.Avalnatham  (R.V)  And  (P)  North  street  block  1  ,  2.Avalnatham  (R.V)  And
(P)  Mela  Street  Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,528,Dravida Munnetra Kazhagam,253,137,116,Tamilaga Vettri Kazhagam,1,3,4,2,12,12,6,6,12,12,6,12,12,12,6,6,6,5,12,12,12,21.96969696969697,6
148,214,149,17,0,0,1,3,109,0,0,1,1,0,1,1,2,1,0,0,0,0,500,0,1,501,0,Avalnattham,"Anganwadi  Centre,  West  Portion,  South Building  ,  Avalnattham","1.Avalnatham  (R.V)  And  (P)  Avalnatham  Block  3  ,  2.Avalnatham  (R.V)  And
(P)  NaaranaPuram  Block  4  ,  3.Avalnatham  (R.V)  And  (P) Sundaralingapuram  Block  5  ,  999.OVERSEAS  ELECTORS",All  Voters,500,All India Anna Dravida Munnetra Kazhagam,214,149,65,Dravida Munnetra Kazhagam,2,1,4,3,13,13,7,5,13,13,7,7,13,7,7,6,7,13,13,13,13,13.0,7
149,198,280,57,0,0,4,1,203,0,23,0,1,1,0,1,0,4,2,0,0,0,775,0,1,776,0,Mooppanpatti,"Athi  Dravidar  Primary  School,  Mooppanpatti","1.Moopanpatti  (A.V)  And  (P)  Moopanpatti  Block  1  ,  2.Moopanpatti  (A.V) And  (P)  Velankanei  nagar  Block  1  ,  3.Moopanpatti  (A.V)  And  (P)  Pasumpon  nagar  Block  1  ,  4.Moopanpatti  (A.V)  And  (P)  Moopanpatti  Block 2  ,  999.OVERSEAS  ELECTORS",All  Voters,775,Dravida Munnetra Kazhagam,280,203,77,Tamilaga Vettri Kazhagam,1,3,4,2,13,13,6,9,13,5,13,9,9,13,9,13,6,8,13,13,13,9.935483870967742,32
